Empresa;Codigo;indices dos quais participa
GERDAU MET;GOAU4;IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL
GETNET BR;GETT11;GPTW,IBRA,IFNC,ITAG,SMLL
GETNINJAS;NINJ3;IGCX,IGNM,ITAG
GILEAD;GILD34;BDRX
GOL;GOLL4;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,ITAG,IVBX,SMLL
GOLD FIELDS;G1FI34;BDRX
GOLDMANSACHS;GSGI34;BDRX
GOPRO;GPRO34;BDRX
GPS;GGPS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
GRAZZIOTIN;CGRA3;ITAG
GRAZZIOTIN;CGRA4;ITAG
GRENDENE;GRND3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
GRUPO MATEUS;GMAT3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPO NATURA;NTCO3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
GRUPO SBF;SBFG3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GRUPO SOMA;SOMA3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GSK PLC;G1SK34;BDRX
GUARARAPES;GUAR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
HAPVIDA;HAPV3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
HARLEY-DAVID;H1OG34;BDRX
HBR REALTY;HBRE3;IGCX,IGNM,ITAG
HCA HEALTHCA;H1CA34;BDRX
HELBOR;HBOR3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
HIDROVIAS;HBSA3;AGFS,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
HOME DEPOT;HOME34;BDRX
HONDA MO;HOND34;BDRX
HORIZON THER;H1ZN34;BDRX
HP COMPANY;HPQB34;BDRX
HSBC HOLDING;H1SB34;BDRX
HYPERA;HYPE3;GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
IGUATEMI S.A;IGTI11;IBOV,IBRA,IBXX,IGCT,IGCX,IMOB,ITAG,SMLL
IHPARDINI;PARD3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ILLUMINA INC;I1LM34;BDRX
IMC S/A;MEAL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
INFRACOMM;IFCM3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
INTEL;ITLC34;BDRX
INTELBRAS;INTB3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
INTUIT INC;INTU34;BDRX
INTUITIVE SU;I1SR34;BDRX
IOCHP-MAXION;MYPK3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
IRANI;RANI3;AGFS,GPTW,IBRA,IGCT,IGCX,IGNM,IMAT,ITAG,SMLL
IRBBRASIL RE;IRBR3;IBOV,IBRA,IBXX,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
IRON MOUNTAI;I1RM34;BDRX
ITAUSA;ITSA3;IGCX
ITAUSA;ITSA4;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,IVBX,MLCX
ITAUUNIBANCO;ITUB3;IBRA,IFNC,IGCT,IGCX,MLCX
ITAUUNIBANCO;ITUB4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
JALLESMACHAD;JALL3;AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
JBS;JBSS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ITAG,MLCX
JD COM;JDCO34;BDRX
JHSF PART;JHSF3;IBOV,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
JOHNSON;JNJB34;BDRX
JPMORGAN;JPMC34;BDRX
JSL;JSLG3;IGCX,IGNM,ITAG
KEPLER WEBER;KEPL3;AGFS,GPTW,IBRA,ITAG,SMLL
KINDER MORGA;KMIC34;BDRX
KLABIN S/A;KLBN11;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
KORA SAUDE;KRSA3;IGCX,IGNM,ITAG
KRAFT HEINZ;KHCB34;BDRX
LAM RESEARCH;L1RC34;BDRX
LAVVI;LAVV3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LIGHT S/A;LIGT3;IBRA,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
LILLY;LILY34;BDRX
LLOYDS BANKI;L1YG34;BDRX
LOCALIZA;RENT3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
LOCAWEB;LWSA3;GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
LOCKHEED;LMTB34;BDRX
LOG COM PROP;LOGG3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LOG-IN;LOGN3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
LOJAS MARISA;AMAR3;IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
LOJAS RENNER;LREN3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
LOPES BRASIL;LPSB3;IGCX,IGNM,ITAG
LOWES COMPA;LOWC34;BDRX
LULULEMON AT;L1UL34;BDRX
LUMEN TECH;L1MN34;BDRX
M.DIASBRANCO;MDIA3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
MACY S;MACY34;BDRX
MAGAZ LUIZA;MGLU3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
MARATHON OIL;M1RO34;BDRX
MARCOPOLO;POMO3;IGCX,ITAG
MARCOPOLO;POMO4;IBRA,IGCT,IGCX,INDX,ITAG,SMLL
MARFRIG;MRFG3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
MASTERCARD;MSCD34;BDRX
MATER DEI;MATD3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
MCDONALDS;MCDC34;BDRX
MEDTRONIC;MDTC34;BDRX
MELIUZ;CASH3;GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
MELNICK;MELK3;IGCX,IGNM,ITAG
MERC BRASIL;BMEB3;IGCX
MERC BRASIL;BMEB4;IGCX
MERCADOLIBRE;MELI34;BDRX
MERCK;MRCK34;BDRX
META PLAT;M1TA34;BDRX
METAL IGUACU;MTIG4;ITAG
METAL LEVE;LEVE3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
METLIFE INC;METB34;BDRX
MGM RESORTS;M1GM34;BDRX
MICRON TECHN;MUTC34;BDRX
MICROSOFT;MSFT34;BDRX
MILLS;MILS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
MINERVA;BEEF3;AGFS,IBOV,IBRA,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
MITRE REALTY;MTRE3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
MITSUBISHI U;M1UF34;BDRX
MOBLY;MBLY3;IGCX,IGNM,ITAG
MODALMAIS;MODL11;IBRA,IFNC,IGCT,IGCX,ITAG,SMLL
MODERNA INC;M1RN34;BDRX
MONDELEZ INT;MDLZ34;BDRX
MONGODB INC;M1DB34;BDRX
MONSTER BEVE;M1NS34;BDRX
MORGAN STAN;MSBR34;BDRX
MOSAIC CO;MOSC34;BDRX
MOURA DUBEUX;MDNE3;IGCX,IGNM,ITAG
MOVIDA;MOVI3;IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
MRV;MRVE3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,SMLL
MULTILASER;MLAS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
MULTIPLAN;MULT3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMOB,ITAG,IVBX,SMLL
NASDAQ INC;N1DA34;BDRX
NEOENERGIA;NEOE3;IBRA,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
NEOGRID;NGRD3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
NETEASE;NETE34;BDRX
NETFLIX;NFLX34;BDRX
NEW ORIENTAL;E1DU34;BDRX
NEWMONT GOLD;N1EM34;BDRX
NEXPE;NEXP3;IGCX,IGNM,ITAG
NEXTERA ENER;NEXT34;BDRX
NIKE;NIKE34;BDRX
NOKIA CORP;NOKI34;BDRX
NORWEGIAN CR;N1CL34;BDRX
NOVARTIS AG;N1VS34;BDRX
NOVO NORDISK;N1VO34;BDRX
NUCOR CORP;N1UE34;BDRX
NVIDIA CORP;NVDC34;BDRX
NXP SEMICOND;N1XP34;BDRX
OCCIDENT PTR;OXYP34;BDRX
OCEANPACT;OPCT3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
ODONTOPREV;ODPV3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
OKTA INC;O1KT34;BDRX
OMEGAENERGIA;MEGA3;IBRA,IEEX,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL
ONCOCLINICAS;ONCO3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ORACLE;ORCL34;BDRX
ORIZON;ORVR3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL
OSX BRASIL;OSXB3;IGCX,IGNM,ITAG
OUROFINO S/A;OFSA3;IGCX,IGNM,ITAG
P.ACUCAR-CBD;PCAR3;AGFS,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
PADTEC;PDTC3;IGCX,IGNM,ITAG
PAGSEGURO;PAGS34;BDRX
PAGUE MENOS;PGMN3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
PALANTIRTECH;P2LT34;BDRX
PARAMOUNT GL;C1BS34;BDRX
PARANAPANEMA;PMAM3;IGCX,IGNM,ITAG,SMLL
PAYPAL HOLD;PYPL34;BDRX
PDG REALT;PDGR3;IGCX,IGNM,ITAG
PEPSICO INC;PEPB34;BDRX
PETROBRAS;PETR3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,ITAG,MLCX
PETROBRAS;PETR4;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,ITAG,MLCX
PETROCHIN;PTCH34;BDRX
PETRORECSA;RECV3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
PETRORIO;PRIO3;IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,MLCX
PETTENATI;PTNT4;ITAG
PETZ;PETZ3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
PFIZER;PFIZ34;BDRX
PG;PGCO34;BDRX
PHILIP MORRI;PHMO34;BDRX
PINDUODUO IN;P1DD34;BDRX
PINE;PINE4;IGCX,ITAG
PLANOEPLANO;PLPL3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
PORTO SEGURO;PSSA3;IBRA,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX
PORTOBELLO;PTBL3;IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
POSITIVO TEC;POSI3;GPTW,IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
PRINER;PRNR3;IGCX,IGNM,ITAG
PROFARMA;PFRM3;IGCX,IGNM,ITAG
PROLOGIS INC;P1LD34;BDRX
PUBLIC STORA;P1SA34;BDRX
QUALCOMM;QCOM34;BDRX
QUALICORP;QUAL3;GPTW,IBOV,IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
QUERO-QUERO;LJQQ3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
RAIADROGASIL;RADL3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
RAIZEN;RAIZ4;AGFS,IBRA,IBXX,ICON,IGCT,IGCX,ITAG,SMLL
RANDON PART;RAPT3;IGCX
RANDON PART;RAPT4;AGFS,IBRA,IDIV,IGCT,IGCX,INDX,ITAG,SMLL
RAYTHEONTECH;RYTT34;BDRX
RECRUSUL;RCSL3;AGFS,IBRA,INDX,SMLL
REDE D OR;RDOR3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
REGENERON PH;REGN34;BDRX
RIO TINTO;RIOT34;BDRX
RNI;RDNI3;IGCX,IGNM,ITAG
ROBLOX CORP;R2BL34;BDRX
ROKU INC;R1KU34;BDRX
ROMI;ROMI3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
ROSSI RESID;RSID3;IGCX,IGNM,ITAG
ROYAL CARIBB;R1CL34;BDRX
RUMO S.A.;RAIL3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
SABESP;SBSP3;GPTW,IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL
SALESFOR INC;SSFO34;BDRX
SANEPAR;SAPR11;IBRA,IGCT,IGCX,ITAG,SMLL,UTIL
SANTANDER;BCSA34;BDRX
SANTANDER BR;SANB11;GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IFNC,ISEE,ITAG,MLCX
SANTOS BRP;STBP3;GPTW,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ITAG,SMLL
SAO CARLOS;SCAR3;IGCX,IGNM,ITAG
SAO MARTINHO;SMTO3;AGFS,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ITAG,MLCX
SAP SE;SAPP34;BDRX
SCHWAB;SCHW34;BDRX
SEA LTD;S2EA34;BDRX
SEQUOIA LOG;SEQL3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
SER EDUCA;SEER3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
SERVICENOW;N1OW34;BDRX
SHOPIFY INC;S2HO34;BDRX
SIBANYE STIL;S1BS34;BDRX
SID NACIONAL;CSNA3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IMAT,INDX,IVBX,MLCX
SIMON PROP;SIMN34;BDRX
SIMPAR;SIMH3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
SINQIA;SQIA3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
SL GREEN REA;S1LG34;BDRX
SLC AGRICOLA;SLCE3;AGFS,GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
SMART FIT;SMFT3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,MLCX
SNOWFLAKE;S2NW34;BDRX
SONY GROUP;SNEC34;BDRX
SP GLOBAL;SPGI34;BDRX
SPLUNK INC;S1PL34;BDRX
SPOTIFY TECH;S1PO34;BDRX
SPRINGS;SGPS3;IGCX,IGNM,ITAG
STARBUCKS;SBUB34;BDRX
STORECAPITAL;S2TO34;BDRX
SUL AMERICA;SULA11;IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,IVBX,SMLL
SUZANO S.A.;SUZB3;AGFS,GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
SYN PROP TEC;SYNE3;IBRA,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
SYNCHRONY FI;S1YF34;BDRX
TAESA;TAEE11;GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ITAG,MLCX,UTIL
TAIWANSMFAC;TSMC34;BDRX
TAKE-TWO INT;T1TW34;BDRX
TAL EDUCATIO;T1AL34;BDRX
TARGET CORP;TGTB34;BDRX
TAURUS ARMAS;TASA3;IGCX,ITAG
TAURUS ARMAS;TASA4;IBRA,IGCT,IGCX,INDX,ITAG,SMLL
TC;TRAD3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
TECHNOS;TECN3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
TECNISA;TCSA3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
TEGMA;TGMA3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
TELADOCHEALT;T2DH34;BDRX
TELEF BRASIL;VIVT3;GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,ISEE,IVBX,MLCX
TELEFONIC;TLNC34;BDRX
TENDA;TEND3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
TERNIUMSA;TXSA34;BDRX
TERRASANTAPA;LAND3;IGCX,IGNM,ITAG
TESLA INC;TSLA34;BDRX
TEVA PHARMAC;T1EV34;BDRX
TEXAS INC;TEXA34;BDRX
THERMFISCHER;TMOS34;BDRX
TIM;TIMS3;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
TIME FOR FUN;SHOW3;IGCX,IGNM,ITAG
TOTVS;TOTS3;GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
TOYOTAMO;TMCO34;BDRX
TRACK FIELD;TFCO4;IGCX,ITAG
TRADE DESK;T2TD34;BDRX
TRAN PAULIST;TRPL3;IGCX
TRAN PAULIST;TRPL4;IBRA,IDIV,IEEX,IGCT,IGCX,MLCX,UTIL
TRANSOCEAN;RIGG34;BDRX
TRIPADVISOR;T1RI34;BDRX
TRISUL;TRIS3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
TRIUNFO PART;TPIS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
TUPY;TUPY3;AGFS,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
TWILIO INC;T1WL34;BDRX
TWITTER;TWTR34;BDRX
UBER TECH IN;U1BE34;BDRX
UBS GROUP;UBSG34;BDRX
ULTRAPAR;UGPA3;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
UNICASA;UCAS3;IGCX,IGNM,ITAG
UNIFIQUE;FIQE3;IGCX,IGNM,ITAG
UNILEVER;ULEV34;BDRX
UNIPAR;UNIP6;IBRA,IDIV,IMAT,INDX,SMLL
UNITED AIRLI;U1AL34;BDRX
UNITEDHEALTH;UNHH34;BDRX
UNITY SOFTWR;U2ST34;BDRX
UPS;UPSS34;BDRX
US BANCORP;USBC34;BDRX
US STEEL;USSX34;BDRX
USIMINAS;USIM3;IBRA,IGCT,IGCX,IMAT,MLCX
USIMINAS;USIM5;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,IVBX,MLCX
VALE;VALE3;IBOV,IBRA,IBXL,IBXX,IDIV,IGCT,IGCX,IGNM,IMAT,ITAG,MLCX
VALERO ENER;VLOE34;BDRX
VALID;VLID3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
VAMOS;VAMO3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,MLCX
VERIZON;VERZ34;BDRX
VERTEX PHARM;VRTX34;BDRX
VIA;VIIA3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
VIBRA;VBBR3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
VIPSHOP HOLD;V1IP34;BDRX
VISA INC;VISA34;BDRX
VITTIA;VITT3;IGCX,IGNM,ITAG
VIVARA S.A.;VIVA3;IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
VIVEO;VVEO3;IGCX,IGNM,ITAG
VIVER;VIVR3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
VODAFONE GRO;V1OD34;BDRX
VORNADO REAL;V1NO34;BDRX
VULCABRAS;VULC3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
WAL MART;WALM34;BDRX
WALGREENS;WGBA34;BDRX
WALT DISNEY;DISB34;BDRX
WARNER DISCO;W1BD34;BDRX
WDC NETWORKS;LVTC3;IGCX,IGNM,ITAG
WEG;WEGE3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,MLCX
WELLS FARGO;WFCO34;BDRX
WESTWING;WEST3;IGCX,IGNM,ITAG
WILSON SONS;PORT3;IGCX,IGNM,ITAG
WIX.COM LTD;W1IX34;BDRX
WIZ S.A.;WIZS3;GPTW,IBRA,IBXX,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
YDUQS PART;YDUQ3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ZOETIS INC;Z1TS34;BDRX
ZOOM VIDEO;Z1OM34;BDRX
